data_i;cod_staz;cod_aggr;ur;ur00;ur01;ur02;ur03;ur04;ur05;ur06;cl_ur06;ur07;ur08;ur09;ur10;ur11;ur12;cl_ur12;ur13;ur14;ur15;ur16;ur17;ur18;ur19;ur20;ur21;ur22;ur23
2021-06-13 00:00:00;6660;4;((24, 1), 56.3, 12.6, (None, None), 79.0, 37.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-14 00:00:00;6660;4;((24, 1), 74.7, 12.9, (None, None), 95.0, 56.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-15 00:00:00;6660;4;((24, 1), 62.7, 20.3, (None, None), 94.0, 39.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-16 00:00:00;6660;4;((24, 1), 60.2, 14.5, (None, None), 81.0, 40.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-17 00:00:00;6660;4;((24, 1), 53.3, 15.7, (None, None), 78.0, 34.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-18 00:00:00;6660;4;((24, 1), 76.2, 13.8, (None, None), 100.0, 44.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-19 00:00:00;6660;4;((24, 1), 65.8, 13.3, (None, None), 86.0, 39.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-20 00:00:00;6660;4;((24, 1), 63.8, 11.7, (None, None), 82.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-21 00:00:00;6660;4;((24, 1), 70.0, 17.2, (None, None), 100.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-22 00:00:00;6660;4;((24, 1), 72.5, 19.5, (None, None), 100.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-23 00:00:00;6660;4;((24, 1), 72.4, 15.2, (None, None), 100.0, 50.0);;;;;;;;;;;;;;;;;;;;;;;;;;
